resting_list1,resting_list2
10043100,GTF
10050100,GTF
10083300,GTF
10090100,GTF
10108100,GTF
10111100,GTF
10131200,GTF
10140300,GTF
10147300,GTF
10148100,GTF
10150100,GTF
10153100,GTF
10156100,GTF
10181600,GTF
10182100,GTF
10187200,GTF
10208200,GTF
10209200,GTF
10213100,GTF
10214500,GTF
10216500,GTF
10219200,GTF
10224300,GTF
10226300,GTF
10233100,GTF
10235100,GTF
10247600,GTF
10262300,GTF
10266300,GTF
10268100,GTF
10270200,GTF
10271200,GTF
10273300,GTF
10274300,GTF
10276300,GTF
10277200,GTF
10280200,GTF
10281100,GTF
10283200,GTF
10286500,GTF
10287100,GTF
10288100,GTF
10290100,GTF
10291100,GTF
10292100,GTF
10295100,GTF
10297100,GTF
10298100,GTF
10299100,GTF
10301100,GTF
10302100,GTF
10303100,GTF
10304100,GTF
10307100,GTF
10309200,GTF
10310100,GTF
10311100,GTF
10313100,GTF
10315100,GTF
10317100,GTF
10318100,GTF
10341100,GTF
10345100,GTF
10347100,GTF
10348100,GTF
10349100,GTF
10350100,GTF
10352100,GTF
10539200,GTF
10585200,GTF
10616200,GTF
10673100,GTF
10686200,GTF
10687200,GTF
10689200,GTF
10691200,GTF
10692200,GTF
10693200,GTF
10700200,GTF
10702200,GTF
10704200,GTF
10705200,GTF
10706200,GTF
10709200,GTF
10710200,GTF
10712200,GTF
10716100,GTF
10717200,GTF
10718100,GTF
10719100,GTF
10720100,GTF
10722100,GTF
10723100,GTF
10724100,GTF
10725100,GTF
10726100,GTF
10728100,GTF
10729200,GTF
10730100,GTF
10731100,GTF
10733100,GTF
10735100,GTF
10736100,GTF
10737200,GTF
10739100,GTF
10741100,GTF
10743200,GTF
10745100,GTF
10746100,GTF
10748100,GTF
10749200,GTF
10750100,GTF
21309200,GTF
21313100,GTF
31004100,GTF
31083300,GTF
31147300,GTF
31150100,GTF
31156100,GTF
31181600,GTF
31192200,GTF
31204200,GTF
31247600,GTF
31277200,GTF
31286500,GTF
31299100,GTF
31313100,GTF
31317100,GTF
31321800,GTF
31343100,GTF
32075500,GTF
32147300,GTF
32150100,GTF
32173100,GTF
32299100,GTF
33173100,GTF
34068500,GTF
34075500,GTF
34147300,GTF
35147300,GTF
40040100,GTF
41083300,GTF
41144100,GTF
41201400,GTF
41205200,GTF
41208200,GTF
41209200,GTF
41227300,GTF
41283200,GTF
41301100,GTF
41334100,GTF
41337100,GTF
41345100,GTF
41346100,GTF
42168500,GTF
42345100,GTF
42346100,GTF
43201400,GTF
43345100,GTF
51043100,GTF
51111100,GTF
51224300,GTF
51249600,GTF
51270200,GTF
51312100,GTF
51318100,GTF
51334100,GTF
51336100,GTF
51337100,GTF
51339100,GTF
51341100,GTF
52270200,GTF
10001100,NPG
10003100,NPG
10004100,NPG
10005100,NPG
10027100,NPG
10040100,NPG
10043100,NPG
10055200,NPG
10060100,NPG
10063100,NPG
10067300,NPG
10068500,NPG
10083300,NPG
10090100,NPG
10094100,NPG
10096100,NPG
10108100,NPG
10116300,NPG
10120100,NPG
10128200,NPG
10129200,NPG
10130200,NPG
10131200,NPG
10132200,NPG
10135100,NPG
10136300,NPG
10137300,NPG
10139300,NPG
10140300,NPG
10141300,NPG
10143300,NPG
10144300,NPG
10145300,NPG
10146300,NPG
10147300,NPG
10148100,NPG
10149100,NPG
10150100,NPG
10153100,NPG
10154100,NPG
10155100,NPG
10156100,NPG
10157100,NPG
10158500,NPG
10159100,NPG
10162300,NPG
10167500,NPG
10168500,NPG
10169100,NPG
10170100,NPG
10175600,NPG
10176600,NPG
10178100,NPG
10180600,NPG
10181600,NPG
10182100,NPG
10183100,NPG
10184300,NPG
10185100,NPG
10187200,NPG
10190100,NPG
10191100,NPG
10192400,NPG
10198200,NPG
10199200,NPG
10203300,NPG
10205200,NPG
10208200,NPG
10209200,NPG
10210100,NPG
10213100,NPG
10214500,NPG
10215600,NPG
10216500,NPG
10217100,NPG
10218500,NPG
10219200,NPG
10220200,NPG
10222100,NPG
10224300,NPG
10225200,NPG
10226300,NPG
10227300,NPG
10229200,NPG
10230200,NPG
10231600,NPG
10232300,NPG
10233100,NPG
10234300,NPG
10235100,NPG
10236200,NPG
10237500,NPG
10238200,NPG
10239200,NPG
10241200,NPG
10243200,NPG
10244100,NPG
10246300,NPG
10246700,NPG
10248100,NPG
10252300,NPG
10254300,NPG
10256300,NPG
10260200,NPG
10261300,NPG
10262300,NPG
10263500,NPG
10264200,NPG
10265200,NPG
10266300,NPG
10267500,NPG
10268100,NPG
10269100,NPG
10578200,NPG
10596100,NPG
10602100,NPG
10608300,NPG
10609300,NPG
10610100,NPG
10611100,NPG
10612200,NPG
10614200,NPG
10615200,NPG
10617200,NPG
10621200,NPG
10622200,NPG
10623200,NPG
10625200,NPG
10626200,NPG
10627200,NPG
10628200,NPG
10629200,NPG
10630200,NPG
10632200,NPG
10634200,NPG
10635200,NPG
10636200,NPG
10639700,NPG
10641200,NPG
10642200,NPG
10643200,NPG
10644200,NPG
10645200,NPG
10646200,NPG
10647200,NPG
10648200,NPG
10649200,NPG
10653200,NPG
10656200,NPG
10657200,NPG
10658200,NPG
10661200,NPG
10662200,NPG
10663200,NPG
10664200,NPG
10665200,NPG
10667100,NPG
10669100,NPG
10670100,NPG
10672100,NPG
10673100,NPG
10676100,NPG
10678200,NPG
10679200,NPG
10680200,NPG
10681200,NPG
10682200,NPG
10684200,NPG
10685200,NPG
10686200,NPG
21140300,NPG
21172600,NPG
21192200,NPG
21226300,NPG
21232300,NPG
21235100,NPG
22080200,NPG
22140300,NPG
22201400,NPG
22214500,NPG
31004100,NPG
31061300,NPG
31140300,NPG
31147300,NPG
31150100,NPG
31153100,NPG
31168500,NPG
31169100,NPG
31173100,NPG
31192200,NPG
31204200,NPG
31205200,NPG
31214500,NPG
31217100,NPG
31247600,NPG
32061300,NPG
32068500,NPG
32075500,NPG
32147300,NPG
33005100,NPG
33147300,NPG
34068500,NPG
34075500,NPG
34147300,NPG
35147300,NPG
41068500,NPG
41094100,NPG
41153100,NPG
41168500,NPG
41183100,NPG
41188100,NPG
41201400,NPG
41205200,NPG
41208200,NPG
41209200,NPG
41210100,NPG
41213100,NPG
41219200,NPG
41227300,NPG
41267500,NPG
42004100,NPG
42063100,NPG
42168500,NPG
42201400,NPG
42211100,NPG
43201400,NPG
51224300,NPG
51249600,NPG
10027100,PENS
10050100,PENS
10051100,PENS
10063100,PENS
10083300,PENS
10108100,PENS
10111100,PENS
10128200,PENS
10135100,PENS
10140300,PENS
10144300,PENS
10150100,PENS
10156100,PENS
10187200,PENS
10192400,PENS
10208200,PENS
10213100,PENS
10216500,PENS
10247600,PENS
10268100,PENS
10281100,PENS
10290100,PENS
10299100,PENS
10301100,PENS
10309200,PENS
10314100,PENS
10341100,PENS
10348100,PENS
10349100,PENS
10350100,PENS
10355100,PENS
10359200,PENS
10362200,PENS
10363200,PENS
10364200,PENS
10365100,PENS
10366200,PENS
10367200,PENS
10368200,PENS
10369100,PENS
10370200,PENS
10371200,PENS
10373200,PENS
10375200,PENS
10376200,PENS
10379100,PENS
10383100,PENS
10384100,PENS
10385100,PENS
10386100,PENS
10387100,PENS
10391100,PENS
10392100,PENS
10395100,PENS
10396100,PENS
10397100,PENS
10398100,PENS
10399200,PENS
10400200,PENS
10403100,PENS
10404100,PENS
10405200,PENS
10406100,PENS
10407100,PENS
10408200,PENS
10409100,PENS
10411300,PENS
10413100,PENS
10414100,PENS
10417200,PENS
10418100,PENS
10420200,PENS
10421300,PENS
10422100,PENS
10423100,PENS
10424100,PENS
10425100,PENS
10460400,PENS
10539200,PENS
10578200,PENS
10616200,PENS
10632200,PENS
10634200,PENS
10639700,PENS
10640700,PENS
10641200,PENS
10691200,PENS
10705200,PENS
10716100,PENS
10722100,PENS
10725100,PENS
10733200,PENS
10735100,PENS
10737200,PENS
10745100,PENS
10748100,PENS
10758100,PENS
10759100,PENS
10760100,PENS
10762200,PENS
10763100,PENS
10764100,PENS
10766100,PENS
10767100,PENS
10768100,PENS
10769100,PENS
10770100,PENS
10772100,PENS
10774100,PENS
10775100,PENS
10777100,PENS
10900300,PENS
10901300,PENS
10902300,PENS
10903900,PENS
21373200,PENS
21385100,PENS
21388200,PENS
21409100,PENS
22301200,PENS
22392200,PENS
22400200,PENS
31051200,PENS
31150100,PENS
31182100,PENS
31204200,PENS
31208200,PENS
31247600,PENS
31299100,PENS
31317100,PENS
31321800,PENS
31366200,PENS
31373200,PENS
31378200,PENS
31386200,PENS
31397100,PENS
31403200,PENS
31404200,PENS
31406200,PENS
31411300,PENS
32075500,PENS
32147300,PENS
32150100,PENS
32403200,PENS
33083300,PENS
34068500,PENS
34147300,PENS
40040100,PENS
41063200,PENS
41144100,PENS
41150100,PENS
41208200,PENS
41209200,PENS
41227300,PENS
41281200,PENS
41309200,PENS
41356200,PENS
41368200,PENS
41388200,PENS
41391100,PENS
42281200,PENS
42321800,PENS
51111100,PENS
51224300,PENS
51312100,PENS
51336100,PENS
51349200,PENS
51365200,PENS
51389100,PENS
51414100,PENS
51460400,PENS
52395200,PENS
